nickname,score,time_last_submission
TowerOfHanoi,412,Wed Sep 07 2022 21:30:09 GMT+0000 (Coordinated Universal Time)
UnisH4ck,412,Wed Sep 07 2022 21:38:05 GMT+0000 (Coordinated Universal Time)
sly-scribes,412,Wed Sep 07 2022 22:19:15 GMT+0000 (Coordinated Universal Time)
noraneco,412,Wed Sep 07 2022 23:06:38 GMT+0000 (Coordinated Universal Time)
ScriptKittiesCA,412,Thu Sep 08 2022 06:00:47 GMT+0000 (Coordinated Universal Time)
93wilsonlu,412,Thu Sep 08 2022 09:56:09 GMT+0000 (Coordinated Universal Time)
arancinHaCK,412,Thu Sep 08 2022 13:57:01 GMT+0000 (Coordinated Universal Time)
Flaggermeister,412,Thu Sep 08 2022 14:19:10 GMT+0000 (Coordinated Universal Time)
jeppe,412,Thu Sep 08 2022 14:47:28 GMT+0000 (Coordinated Universal Time)
Birkenwald,412,Thu Sep 08 2022 14:58:06 GMT+0000 (Coordinated Universal Time)
randomguy,412,Thu Sep 08 2022 16:01:38 GMT+0000 (Coordinated Universal Time)
Royal-Military-Hackademy,412,Thu Sep 08 2022 16:21:23 GMT+0000 (Coordinated Universal Time)
comodo,412,Thu Sep 08 2022 16:34:46 GMT+0000 (Coordinated Universal Time)
peterrakolcza,412,Thu Sep 08 2022 16:42:44 GMT+0000 (Coordinated Universal Time)
Clowntools,412,Thu Sep 08 2022 16:58:16 GMT+0000 (Coordinated Universal Time)
